DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
2004-02-01;0.60686;0.89764;-0.51502;-1.35051;4.47961;2.01857;0.27263;0.41348;-3.70370;-0.63710;0.04282;0.49505
2004-03-01;-0.38197;-1.35896;10.09491;8.99541;4.38896;1.26233;0.16313;1.69412;11.53846;10.55711;0.24231;0.70373
2004-04-01;0.40753;0.87058;-7.05329;-0.12915;5.70478;-2.02354;0.21716;-0.79186;10.34483;-11.24428;0.20589;1.18798
2004-05-01;0.72565;-3.18521;4.63744;11.83865;-0.85730;7.62220;0.81257;4.21678;3.12500;12.78096;0.21612;1.38122
2004-06-01;-0.77118;2.81077;-4.91539;-6.34584;6.37980;-11.06895;0.16120;-2.46209;0.00000;-13.34240;0.07290;0.27248
2004-07-01;0.74196;-2.33875;-7.79661;8.63392;-4.88427;7.02405;0.21459;0.04889;-9.09091;1.04058;0.04629;0.13587
2004-08-01;0.08733;-1.87890;7.99632;11.83298;-0.23619;-0.87816;0.10707;0.68181;-6.66667;7.62276;0.06523;0.40706
2004-09-01;0.11641;3.06935;3.31915;1.05916;-0.78905;4.18488;-0.05348;-0.12901;0.00000;-15.53117;0.11142;-0.20270
2004-10-01;0.88040;0.37210;7.49588;15.23225;-0.11591;-2.01958;0.48154;-1.18804;10.71429;6.25106;0.26650;1.55721
2004-11-01;0.24628;4.72248;-9.65517;-13.39224;2.89163;-0.86788;0.31949;-3.75471;-9.67742;-9.32422;0.05588;0.93333
2004-12-01;0.78333;3.03411;5.34351;-8.13789;0.45300;4.26218;0.00000;-0.84869;7.14286;-8.23468;0.09358;-0.79260
2005-01-01;0.35639;-1.66165;-3.14010;12.39029;0.20172;-6.70092;0.15924;-0.45220;-3.33333;7.85305;0.11008;0.46605
2005-02-01;0.70763;1.79671;9.64256;2.17035;-1.28593;-0.01776;-0.05299;1.55138;0.00000;-12.86689;0.19130;0.46388
2005-03-01;-0.12893;-0.31860;0.68234;16.77745;-1.77663;3.12093;0.26511;0.29553;10.34483;12.10541;0.09095;1.38522
